date,close,volume,open,high,low
07-04-2017,143.34,16658660,143.73,144.18,143.27
06-04-2017,143.66,21131040,144.29,144.52,143.45
05-04-2017,144.02,27649500,144.22,145.46,143.81
04-04-2017,144.77,19865300,143.25,144.89,143.17
03-04-2017,143.7,19970040,143.71,144.12,143.05
31-03-2017,143.66,19576480,143.72,144.27,143.01
30-03-2017,143.93,21189000,144.19,144.5,143.5
29-03-2017,144.12,29174040,143.68,144.49,143.19
28-03-2017,143.8,33348400,140.91,144.04,140.62
27-03-2017,140.88,23531670,139.39,141.22,138.62
24-03-2017,140.64,22355140,141.5,141.74,140.35
23-03-2017,140.92,20299310,141.26,141.5844,140.61
22-03-2017,141.42,25804820,139.845,141.6,139.76
21-03-2017,139.84,39461130,142.11,142.8,139.73
20-03-2017,141.46,21258100,140.4,141.5,140.23
17-03-2017,139.99,43700570,141,141,139.89
16-03-2017,140.69,19173780,140.72,141.02,140.26
15-03-2017,140.46,25676720,139.41,140.7501,139.025
14-03-2017,138.99,15281850,139.3,139.65,138.84
13-03-2017,139.2,17048800,138.85,139.43,138.82
10-03-2017,139.14,19578920,139.25,139.3571,138.64
09-03-2017,138.68,22117750,138.74,138.79,137.05
08-03-2017,139,18695500,138.95,139.8,138.82
07-03-2017,139.52,17439210,139.06,139.98,138.79
06-03-2017,139.34,21229890,139.365,139.77,138.5959
03-03-2017,139.78,21555370,138.78,139.83,138.59
02-03-2017,138.96,26170690,140,140.2786,138.76
01-03-2017,139.79,36362440,137.89,140.15,137.595
28-02-2017,136.99,23446340,137.08,137.435,136.7
27-02-2017,136.93,20222210,137.14,137.435,136.28
24-02-2017,136.66,21754600,135.91,136.66,135.28
23-02-2017,136.53,20762360,137.38,137.48,136.3
22-02-2017,137.11,20769030,136.43,137.12,136.11
21-02-2017,136.7,24487200,136.23,136.75,135.98
17-02-2017,135.72,22163280,135.1,135.83,135.1
16-02-2017,135.345,22539860,135.67,135.9,134.8398
15-02-2017,135.51,35578640,135.52,136.27,134.62
14-02-2017,135.02,33054500,133.47,135.09,133.25
13-02-2017,133.29,22989980,133.08,133.82,132.75
10-02-2017,132.12,20046250,132.46,132.94,132.05
09-02-2017,132.42,28321440,131.65,132.445,131.12
08-02-2017,132.04,22941650,131.35,132.22,131.22
07-02-2017,131.53,38158410,130.54,132.09,130.45
06-02-2017,130.29,26784530,129.13,130.5,128.9
03-02-2017,129.08,24460160,128.31,129.19,128.16
02-02-2017,128.53,33671250,127.975,129.39,127.78
01-02-2017,128.75,111837300,127.03,130.49,127.01
31-01-2017,121.35,47767760,121.15,121.39,120.62
30-01-2017,121.63,30327110,120.93,121.63,120.66
27-01-2017,121.95,20495340,122.14,122.35,121.6
26-01-2017,121.94,26320740,121.67,122.44,121.6
25-01-2017,121.88,32417410,120.42,122.1,120.28
24-01-2017,119.97,23191150,119.55,120.1,119.5
23-01-2017,120.08,21982000,120,120.81,119.77
20-01-2017,120,29922650,120.45,120.45,119.7346
19-01-2017,119.78,25554290,119.4,120.09,119.37
18-01-2017,119.99,23687350,120,120.5,119.71
17-01-2017,120,34412090,118.34,120.24,118.22
13-01-2017,119.04,26083030,119.11,119.62,118.81
12-01-2017,119.25,27057550,118.895,119.3,118.21
11-01-2017,119.75,27453130,118.74,119.93,118.6
10-01-2017,119.11,24432660,118.77,119.38,118.3
09-01-2017,118.99,33420290,117.95,119.43,117.94
06-01-2017,117.91,31714820,116.78,118.16,116.47
