date,close,volume,open,high,low
07-04-2017,65.68,14089430,65.85,65.96,65.44
06-04-2017,65.73,18074330,65.6,66.055,65.48
05-04-2017,65.56,21418530,66.3,66.35,65.4443
04-04-2017,65.73,12988620,65.39,65.81,65.28
03-04-2017,65.55,20362440,65.81,65.94,65.19
31-03-2017,65.86,21037270,65.65,66.19,65.45
30-03-2017,65.71,15109580,65.42,65.98,65.36
29-03-2017,65.47,13613870,65.12,65.5,64.9475
28-03-2017,65.29,20066100,64.96,65.47,64.65
27-03-2017,65.1,18555230,64.63,65.22,64.35
24-03-2017,64.98,22616680,65.12,65.45,64.76
23-03-2017,64.87,19267040,64.94,65.235,64.765
22-03-2017,65.03,20635780,64.12,65.14,64.12
21-03-2017,64.21,26607950,65.19,65.5,64.13
20-03-2017,64.93,14273670,64.91,65.175,64.72
17-03-2017,64.87,49077080,64.91,65.24,64.68
16-03-2017,64.64,20638340,64.75,64.76,64.3
15-03-2017,64.75,24819560,64.55,64.92,64.25
14-03-2017,64.41,14280080,64.53,64.55,64.15
13-03-2017,64.71,19558920,65.01,65.195,64.57
10-03-2017,64.93,19531290,65.11,65.26,64.75
09-03-2017,64.73,19841220,65.19,65.2,64.48
08-03-2017,64.99,21510490,64.26,65.085,64.25
07-03-2017,64.4,18507840,64.19,64.775,64.19
06-03-2017,64.27,17536510,63.97,64.56,63.81
03-03-2017,64.25,18138220,63.99,64.28,63.62
02-03-2017,64.01,24523130,64.69,64.75,63.88
01-03-2017,64.94,26911390,64.13,64.99,64.0218
28-02-2017,63.98,23225630,64.08,64.2,63.76
27-02-2017,64.23,15852360,64.54,64.54,64.045
24-02-2017,64.62,21778650,64.53,64.8,64.135
23-02-2017,64.62,20255890,64.42,64.7285,64.195
22-02-2017,64.36,19274640,64.33,64.39,64.05
21-02-2017,64.49,20643320,64.61,64.95,64.45
17-02-2017,64.62,21236980,64.47,64.69,64.3
16-02-2017,64.52,20538890,64.74,65.24,64.44
15-02-2017,64.53,16984020,64.5,64.57,64.155
14-02-2017,64.57,23080270,64.41,64.72,64.02
13-02-2017,64.72,22871800,64.24,64.86,64.13
10-02-2017,64,18169980,64.25,64.3,63.975
09-02-2017,64.06,22625170,63.52,64.435,63.32
08-02-2017,63.34,18089300,63.57,63.81,63.22
07-02-2017,63.43,20271020,63.74,63.78,63.23
06-02-2017,63.64,19776560,63.5,63.65,63.14
03-02-2017,63.68,30288330,63.5,63.7,63.07
02-02-2017,63.17,45820410,63.25,63.41,62.75
01-02-2017,63.58,39650890,64.355,64.62,63.47
31-01-2017,64.65,25258900,64.86,65.15,64.26
30-01-2017,65.13,31627120,65.69,65.79,64.8
27-01-2017,65.78,44806710,65.39,65.91,64.89
26-01-2017,64.27,42688490,64.12,64.535,63.55
25-01-2017,63.68,24480930,63.95,64.1,63.45
24-01-2017,63.52,24647260,63.2,63.735,62.94
23-01-2017,62.96,23055910,62.7,63.1159,62.57
20-01-2017,62.74,30067740,62.67,62.82,62.37
